query_number,query_text,matched_codes,match_count
131,[AnimalWelfareInvolvement] ANY 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture',AnimalWelfareInvolvement,1
132,[AnimalWelfareInvolvement] ANY 'Animal Testing|Factory Farming|Live Export|Aquaculture',AnimalWelfareInvolvement,1
133,[AnimalWelfareInvolvement] ANY 'Aquaculture',AnimalWelfareInvolvement,1
134,[AnimalWelfareInvolvement] ANY 'Factory Farming',AnimalWelfareInvolvement,1
135,[AnimalWelfareInvolvement] ANY 'Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture',AnimalWelfareInvolvement,1
136,[AnimalWelfareInvolvement] ANY 'Live Export',AnimalWelfareInvolvement,1
1057,[FossilFuelInvolvement] ANY 'Distribution',FossilFuelInvolvement,1
1058,[FossilFuelInvolvement] ANY 'Distribution|Services',FossilFuelInvolvement,1
1059,[FossilFuelInvolvement] ANY 'Exploration',FossilFuelInvolvement,1
1060,[FossilFuelInvolvement] ANY 'Production',FossilFuelInvolvement,1
1061,[FossilFuelInvolvement] ANY 'Production|Distribution',FossilFuelInvolvement,1
1062,[FossilFuelInvolvement] ANY 'Production|Exploration',FossilFuelInvolvement,1
1063,[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution',FossilFuelInvolvement,1
1064,[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution|Services',FossilFuelInvolvement,1
1065,[FossilFuelInvolvement] ANY 'Services',FossilFuelInvolvement,1
1066,[FossilFuelInvolvement] NONE 'Production|Exploration|Distribution|Services',FossilFuelInvolvement,1
1354,[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|Domiciled in Sudan',GSCaseSudanInvolvement,1
1355,[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|Domiciled in Sudan|OFAC Violation or Terror Sponsor|Provider of Military Equipment|Ties to The Government',GSCaseSudanInvolvement,1
1356,[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|OFAC Violation or Terror Sponsor|Ties to The Government',GSCaseSudanInvolvement,1
1945,[NBSOverallFlag] == 'Amber',NBSOverallFlag,1
1946,[NBSOverallFlag] == 'Green',NBSOverallFlag,1
1947,[NBSOverallFlag] == 'RED',NBSOverallFlag,1
1948,[NBSOverallFlag] IN 'Amber',NBSOverallFlag,1
1949,[NBSOverallFlag] IN 'Amber|Green',NBSOverallFlag,1
1950,[NBSOverallFlag] IN 'Amber|Green|RED',NBSOverallFlag,1
1951,[NBSOverallFlag] IN 'Green',NBSOverallFlag,1
1952,[NBSOverallFlag] IN 'RED',NBSOverallFlag,1
1953,[NBSOverallFlag] IN 'RED|Amber',NBSOverallFlag,1
1954,[NBSOverallFlag] IN 'RED|Amber|Green',NBSOverallFlag,1
1955,[NBSOverallFlag] IN 'RED|Green|Amber',NBSOverallFlag,1
1956,[NBSOverallFlag] IS :NC,NBSOverallFlag,1
